instance,algorithm,seed,objv,lb,bkv,bklb,slope,wind
Medium_Flat_Light_High_Moderate_Moderate_Early_VeryLate_123,ILS,2,897.0,0.0,607.0,480.0,Flat,Light
Medium_Flat_Light_High_Moderate_Moderate_Early_VeryLate_123,RS,1,871.0,0.0,607.0,480.0,Flat,Light
Medium_Steep_Light_High_Moderate_Moderate_Early_VeryLate_123,MIP,1,746.0,253.0,564.0,444.0,Steep,Light
Medium_Steep_Light_High_Moderate_Moderate_Early_VeryLate_123,MIP,7,776.0,195.0,564.0,444.0,Steep,Light
Medium_Steep_Light_High_Moderate_Moderate_Early_VeryLate_123,MIP,9,776.0,193.0,564.0,444.0,Steep,Light
Medium_Steep_Light_High_Moderate_Moderate_Early_VeryLate_123,MIP,6,683.0,183.0,564.0,444.0,Steep,Light
Medium_Steep_Light_High_Moderate_Moderate_Early_VeryLate_123,MIP,3,744.0,187.0,564.0,444.0,Steep,Light
Medium_Steep_Light_High_Moderate_Moderate_Early_VeryLate_123,MIP,8,726.0,204.0,564.0,444.0,Steep,Light
Medium_Steep_Light_High_Moderate_Moderate_Early_VeryLate_123,MIP,10,756.0,185.0,564.0,444.0,Steep,Light
Medium_Steep_Light_High_Moderate_Moderate_Early_VeryLate_123,MIP,4,773.0,189.0,564.0,444.0,Steep,Light
Medium_Steep_Light_High_Moderate_Moderate_Early_VeryLate_123,MIP,5,720.0,185.0,564.0,444.0,Steep,Light
Medium_Steep_Light_High_Moderate_Moderate_Early_VeryLate_123,MIP,2,792.0,189.0,564.0,444.0,Steep,Light
Medium_Steep_Light_High_Moderate_Moderate_Early_VeryLate_123,IBS,7,569.0,0.0,564.0,444.0,Steep,Light
Medium_Steep_Light_High_Moderate_Moderate_Early_VeryLate_123,IBS,3,568.0,0.0,564.0,444.0,Steep,Light
Medium_Steep_Light_High_Moderate_Moderate_Early_VeryLate_123,IBS,2,569.0,0.0,564.0,444.0,Steep,Light
Medium_Steep_Light_High_Moderate_Moderate_Early_VeryLate_123,IBS,6,564.0,0.0,564.0,444.0,Steep,Light
Medium_Steep_Light_High_Moderate_Moderate_Early_VeryLate_123,IBS,4,570.0,0.0,564.0,444.0,Steep,Light
Medium_Steep_Light_High_Moderate_Moderate_Early_VeryLate_123,IBS,1,569.0,0.0,564.0,444.0,Steep,Light
Medium_Steep_Light_High_Moderate_Moderate_Early_VeryLate_123,IBS,8,569.0,0.0,564.0,444.0,Steep,Light
Medium_Steep_Light_High_Moderate_Moderate_Early_VeryLate_123,IBS,10,566.0,0.0,564.0,444.0,Steep,Light
Medium_Steep_Light_High_Moderate_Moderate_Early_VeryLate_123,IBS,9,567.0,0.0,564.0,444.0,Steep,Light
Medium_Steep_Light_High_Moderate_Moderate_Early_VeryLate_123,IBS,5,568.0,0.0,564.0,444.0,Steep,Light
Medium_Steep_Light_High_Moderate_Moderate_Early_VeryLate_123,CUTH,2,832.0,0.0,564.0,444.0,Steep,Light
Medium_Steep_Light_High_Moderate_Moderate_Early_VeryLate_123,CUTH,8,832.0,0.0,564.0,444.0,Steep,Light
Medium_Steep_Light_High_Moderate_Moderate_Early_VeryLate_123,CUTH,10,832.0,0.0,564.0,444.0,Steep,Light
Medium_Steep_Light_High_Moderate_Moderate_Early_VeryLate_123,CUTH,9,832.0,0.0,564.0,444.0,Steep,Light
