instance,algorithm,seed,objv
LA1,IBS_02,10,189
LA2,IBS_02,2,190
LB5,IBS_02,5,235
LA3,IBS_02,8,207
LB4,IBS_02,8,226
LA4,IBS_02,4,217
LA0,IBS_02,8,189
LB6,IBS_02,8,249
LA3,IBS_02,3,207
LB1,IBS_02,7,196
LB1,IBS_02,3,196
LB7,IBS_02,2,253
LA6,IBS_02,2,239
LA0,IBS_02,1,189
LA7,IBS_02,7,246
LB4,IBS_02,9,226
LA3,IBS_02,1,207
LB5,IBS_02,1,235
LB4,IBS_02,3,226
LB0,IBS_02,4,196
LA1,IBS_02,1,189
LB2,IBS_02,4,197
LB1,IBS_02,10,196
LB7,IBS_02,5,253
LB2,IBS_02,9,197
LB4,IBS_02,5,226
LB6,IBS_02,2,249
LA1,IBS_02,5,189
LB2,IBS_02,8,197
LA5,IBS_02,4,226
LB7,IBS_02,1,253
LB2,IBS_02,6,197
LA0,IBS_02,7,189
LB4,IBS_02,6,226
LA1,IBS_02,2,189
LA5,IBS_02,9,226
LA6,IBS_02,8,239
LB6,IBS_02,9,249
LA0,IBS_02,4,189
LA1,IBS_02,3,189
LA4,IBS_02,6,216
LA7,IBS_02,4,246
LA4,IBS_02,2,217
LB7,IBS_02,8,253
LB6,IBS_02,4,249
LB5,IBS_02,6,235
LA3,IBS_02,2,207
LB5,IBS_02,3,235
LB1,IBS_02,4,196
LB1,IBS_02,2,196
LB7,IBS_02,3,253
LB3,IBS_02,5,213
LB3,IBS_02,2,213
LB0,IBS_02,10,196
LA6,IBS_02,3,239
LA2,IBS_02,4,190
LB6,IBS_02,3,249
LA6,IBS_02,1,239
LB6,IBS_02,1,249
LA7,IBS_02,2,246
LA5,IBS_02,10,226
LB0,IBS_02,6,196
LB7,IBS_02,9,253
LA4,IBS_02,7,216
LB5,IBS_02,2,235
LA3,IBS_02,10,207
LA4,IBS_02,5,217
LB7,IBS_02,7,254
LA5,IBS_02,1,226
LA7,IBS_02,9,246
LA7,IBS_02,5,246
LB5,IBS_02,9,235
LA2,IBS_02,6,190
LB7,IBS_02,10,253
LA0,IBS_02,2,189
LA5,IBS_02,2,226
LB3,IBS_02,1,213
LA0,IBS_02,10,189
LB3,IBS_02,3,213
LB6,IBS_02,7,249
LA4,IBS_02,8,217
LB5,IBS_02,10,235
LA6,IBS_02,10,239
LA1,IBS_02,7,189
LA7,IBS_02,8,247
LA0,IBS_02,6,189
LA2,IBS_02,3,190
LA7,IBS_02,3,246
LB5,IBS_02,7,235
LB6,IBS_02,10,249
LA5,IBS_02,7,226
LA7,IBS_02,10,246
LA3,IBS_02,5,207
LB4,IBS_02,10,226
LA0,IBS_02,5,189
LA3,IBS_02,9,207
LA6,IBS_02,4,239
LB0,IBS_02,2,196
LB6,IBS_02,5,249
LA5,IBS_02,8,226
LA4,IBS_02,10,216
LA1,IBS_02,4,189
LB3,IBS_02,7,213
LA7,IBS_02,6,246
LB4,IBS_02,4,226
LA4,IBS_02,9,217
LB3,IBS_02,6,213
LA4,IBS_02,3,216
LA7,IBS_02,1,246
LA2,IBS_02,9,190
LB0,IBS_02,9,196
LB2,IBS_02,5,197
LB0,IBS_02,3,196
LA1,IBS_02,8,189
LB1,IBS_02,8,196
LA5,IBS_02,3,226
LA6,IBS_02,7,239
LA2,IBS_02,7,190
LB3,IBS_02,8,213
LA1,IBS_02,6,189
LB1,IBS_02,1,196
LA0,IBS_04,6,189
LA1,IBS_04,9,189
LB1,IBS_04,2,196
LA7,IBS_04,6,246
LB5,IBS_04,8,235
LA0,IBS_04,2,189
LA7,IBS_04,10,246
LB4,IBS_04,2,226
LB5,IBS_04,4,235
LB5,IBS_04,1,235
LA4,IBS_04,5,216
LA2,IBS_04,7,190
LB3,IBS_04,2,213
LA1,IBS_04,5,189
LA7,IBS_04,2,246
LB6,IBS_04,7,249
LA4,IBS_04,8,216
LB7,IBS_04,9,253
LA1,IBS_04,7,189
LA2,IBS_04,8,190
LB5,IBS_04,7,235
LB5,IBS_04,9,235
LB6,IBS_04,2,249
LA5,IBS_04,10,226
LA1,IBS_04,6,189
LA0,IBS_04,5,189
LA4,IBS_04,2,216
LB0,IBS_04,6,196
LA7,IBS_04,5,246
LA2,IBS_04,6,190
LA6,IBS_04,7,239
LB1,IBS_04,7,196
LA0,IBS_04,10,189
LA5,IBS_04,1,226
LA5,IBS_04,6,226
LA3,IBS_04,3,207
LA2,IBS_04,4,190
LB2,IBS_04,8,197
LB5,IBS_04,6,235
LA5,IBS_04,2,226
LA0,IBS_04,1,189
LB3,IBS_04,6,213
LB6,IBS_04,5,249
LB4,IBS_04,4,226
LA0,IBS_04,3,189
LB3,IBS_04,1,213
LA1,IBS_04,8,189
LA2,IBS_04,2,190
LA6,IBS_04,3,239
LB0,IBS_04,5,196
LB2,IBS_04,4,197
LB1,IBS_04,10,196
LB5,IBS_04,3,235
LA7,IBS_04,7,246
LA4,IBS_04,1,216
LB7,IBS_04,7,253
LA6,IBS_04,9,239
LB3,IBS_04,5,213
LA0,IBS_04,9,189
LA3,IBS_04,6,207
LB4,IBS_04,10,226
LA4,IBS_04,10,216
LA3,IBS_04,5,207
LB3,IBS_04,4,213
LA1,IBS_04,3,189
LA5,IBS_04,8,226
LB6,IBS_04,8,249
LB7,IBS_04,10,253
LA1,IBS_04,10,189
LB1,IBS_04,6,196
LA7,IBS_04,4,246
LB7,IBS_04,3,253
LB7,IBS_04,5,253
LA7,IBS_04,1,246
LA7,IBS_04,8,246
LB4,IBS_04,5,226
LB7,IBS_04,6,253
LA4,IBS_04,7,216
LA7,IBS_04,9,246
LB6,IBS_04,4,249
LB3,IBS_04,9,213
LB1,IBS_04,8,196
LB2,IBS_04,7,197
LB0,IBS_04,8,196
LA0,IBS_04,8,189
LA1,IBS_04,1,189
LB2,IBS_04,5,197
LA3,IBS_04,4,207
LB7,IBS_04,2,253
LA3,IBS_04,2,207
LB7,IBS_04,8,253
LB7,IBS_04,1,253
LA2,IBS_04,3,190
LB1,IBS_04,9,196
LA3,IBS_04,7,207
LA4,IBS_04,9,216
LB6,IBS_04,9,249
LB0,IBS_04,3,196
LA2,IBS_04,1,190
LB4,IBS_04,8,226
LA4,IBS_04,4,216
LA2,IBS_04,5,190
LB3,IBS_04,8,213
LA6,IBS_04,1,239
LA3,IBS_04,1,207
LB0,IBS_04,10,196
LB4,IBS_04,3,226
LA6,IBS_04,10,239
LB0,IBS_04,2,196
LB6,IBS_04,1,249
LB1,IBS_04,3,196
LB4,IBS_04,9,226
LA7,IBS_04,3,246
LA3,IBS_04,8,207
LB0,IBS_04,1,196
LB5,IBS_04,5,235
LA6,IBS_04,4,239
LA5,IBS_04,5,226
LB4,IBS_04,1,226
LB2,IBS_04,3,197
LB2,IBS_04,10,197
LA2,IBS_04,10,190
LB7,IBS_04,4,253
LB1,IBS_04,5,196
LA6,IBS_04,8,239
LB1,IBS_04,1,196
LB2,IBS_04,1,197
LB2,IBS_04,6,197
LB5,IBS_04,2,235
LA6,IBS_04,2,239
LA4,IBS_04,6,216
LB0,IBS_04,9,196
LA5,IBS_04,9,226
LB6,IBS_04,6,249
LB2,IBS_04,2,197
LA1,IBS_04,4,189
LA5,IBS_04,4,226
