instance,algorithm,seed,objv
LB1,IBS_FN,7,196
LB2,IBS_FN,6,197
LB0,IBS_FN,2,196
LB6,IBS_FN,5,249
LA1,IBS_FN,10,189
LA0,IBS_FN,5,189
LB7,IBS_FN,8,253
LB3,IBS_FN,4,213
LB6,IBS_FN,8,249
LA2,IBS_FN,9,190
LA5,IBS_FN,7,226
LB4,IBS_FN,5,226
LA7,IBS_FN,1,246
LB6,IBS_FN,7,249
LB4,IBS_FN,3,226
LB6,IBS_FN,10,249
LB3,IBS_FN,2,213
LA6,IBS_FN,7,239
LB4,IBS_FN,8,226
LA7,IBS_FN,7,246
LA2,IBS_FN,7,190
LB0,IBS_FN,9,196
LB5,IBS_FN,2,235
LB7,IBS_FN,10,253
LA0,IBS_FN,8,189
LB1,IBS_FN,8,196
LB2,IBS_FN,4,197
LA6,IBS_FN,2,239
LA7,IBS_FN,6,246
LB2,IBS_FN,10,197
LA6,IBS_FN,10,239
LA6,IBS_FN,9,239
LB2,IBS_FN,8,197
LA6,IBS_FN,5,239
LB0,IBS_FN,8,196
LB5,IBS_FN,7,235
LA6,IBS_FN,4,239
LB4,IBS_FN,6,226
LA2,IBS_FN,5,190
LA2,IBS_FN,1,190
LB7,IBS_FN,4,253
LB5,IBS_FN,1,235
LB0,IBS_FN,1,196
LA5,IBS_FN,6,226
LA1,IBS_FN,2,189
LB5,IBS_FN,10,235
LA1,IBS_FN,5,189
LB3,IBS_FN,1,213
LA0,IBS_FN,9,189
LA1,IBS_FN,3,189
LB1,IBS_FN,3,196
LA4,IBS_FN,6,216
LA7,IBS_FN,3,246
LA1,IBS_FN,7,189
LA0,IBS_FN,4,189
LB0,IBS_FN,6,196
LA1,IBS_FN,6,189
LB2,IBS_FN,2,197
LA0,IBS_FN,1,189
LA2,IBS_FN,2,190
LB4,IBS_FN,10,226
LB6,IBS_FN,1,249
LA2,IBS_FN,4,190
LA5,IBS_FN,9,226
LA5,IBS_FN,1,226
LB4,IBS_FN,2,226
LB7,IBS_FN,2,253
LA3,IBS_FN,8,207
LB5,IBS_FN,6,235
LA4,IBS_FN,10,216
LA4,IBS_FN,4,216
LA0,IBS_FN,3,189
LA0,IBS_FN,2,189
LB3,IBS_FN,5,213
LB2,IBS_FN,5,197
LA4,IBS_FN,8,216
LA5,IBS_FN,10,226
LB1,IBS_FN,6,196
